N,seed,min_energy,average_time,success_probability,TTS,hardware,program_name
200,1201777,-0.743682,0.000281301,0.001,0.281301,Linux x86_64,Greedy
200,1201780,-0.753928,0.000284949,0.001,0.284949,Linux x86_64,Greedy
200,1201783,-0.71806892,0.000286766,0.001,0.286766,Linux x86_64,Greedy
200,1201786,-0.71623722,0.000281942,0.001,0.281942,Linux x86_64,Greedy
200,1201789,-0.75322383,0.000279253,0.001,0.279253,Linux x86_64,Greedy
200,1201792,-0.72875669,0.000283606,0.001,0.283606,Linux x86_64,Greedy
200,1201795,-0.75219069,0.000282053,0.001,0.282053,Linux x86_64,Greedy
200,1201798,-0.73511049,0.000279935,0.001,0.279935,Linux x86_64,Greedy
200,1201801,-0.74289371,0.000284663,0.001,0.284663,Linux x86_64,Greedy
200,1201804,-0.7098701,0.000277249,0.001,0.277249,Linux x86_64,Greedy
200,1201807,-0.7280394,0.000285973,0.001,0.285973,Linux x86_64,Greedy
200,1201810,-0.74119535,0.000284746,0.001,0.284746,Linux x86_64,Greedy
200,1201813,-0.74283491,0.000284524,0.001,0.284524,Linux x86_64,Greedy
200,1201816,-0.72461225,0.000277704,0.001,0.277704,Linux x86_64,Greedy
200,1201819,-0.73982989,0.000277349,0.001,0.277349,Linux x86_64,Greedy
200,1201822,-0.71832463,0.000281557,0.001,0.281557,Linux x86_64,Greedy
200,1201825,-0.75365248,0.000289648,0.001,0.289648,Linux x86_64,Greedy
200,1201828,-0.72976708,0.000286353,0.001,0.286353,Linux x86_64,Greedy
200,1201831,-0.7443542,0.000286149,0.001,0.286149,Linux x86_64,Greedy
200,1201834,-0.73786856,0.000283285,0.001,0.283285,Linux x86_64,Greedy
200,1201837,-0.75464391,0.000279024,0.001,0.279024,Linux x86_64,Greedy
200,1201840,-0.73524005,0.000279449,0.001,0.279449,Linux x86_64,Greedy
200,1201843,-0.72632071,0.000284403,0.001,0.284403,Linux x86_64,Greedy
200,1201846,-0.71523254,0.000283428,0.001,0.283428,Linux x86_64,Greedy
200,1201849,-0.75911648,0.000281168,0.001,0.281168,Linux x86_64,Greedy
200,1201852,-0.70850591,0.000276103,0.001,0.276103,Linux x86_64,Greedy
200,1201855,-0.72503242,0.000282904,0.001,0.282904,Linux x86_64,Greedy
200,1201858,-0.73106392,0.000284748,0.001,0.284748,Linux x86_64,Greedy
200,1201861,-0.75080637,0.000283452,0.001,0.283452,Linux x86_64,Greedy
200,1201864,-0.75175078,0.000290309,0.001,0.290309,Linux x86_64,Greedy
200,1201867,-0.72137325,0.000280184,0.001,0.280184,Linux x86_64,Greedy
200,1201870,-0.7156094,0.000289873,0.001,0.289873,Linux x86_64,Greedy
200,1201873,-0.75025998,0.000279716,0.001,0.279716,Linux x86_64,Greedy
200,1201876,-0.73792788,0.000292922,0.001,0.292922,Linux x86_64,Greedy
200,1201879,-0.74723202,0.000286638,0.001,0.286638,Linux x86_64,Greedy
200,1201882,-0.73391217,0.000283304,0.001,0.283304,Linux x86_64,Greedy
200,1201885,-0.73202025,0.00028801,0.001,0.28801,Linux x86_64,Greedy
200,1201888,-0.74595356,0.000284989,0.001,0.284989,Linux x86_64,Greedy
200,1201891,-0.72952148,0.000278852,0.001,0.278852,Linux x86_64,Greedy
200,1201894,-0.72721016,0.000282401,0.001,0.282401,Linux x86_64,Greedy
200,1201897,-0.71295461,0.000278887,0.001,0.278887,Linux x86_64,Greedy
200,1201900,-0.73755917,0.000283397,0.001,0.283397,Linux x86_64,Greedy
200,1201903,-0.73709713,0.000287405,0.001,0.287405,Linux x86_64,Greedy
200,1201906,-0.71228125,0.000283775,0.001,0.283775,Linux x86_64,Greedy
200,1201909,-0.72240811,0.000281323,0.001,0.281323,Linux x86_64,Greedy
200,1201912,-0.73536077,0.000289882,0.001,0.289882,Linux x86_64,Greedy
200,1201915,-0.73145767,0.000283462,0.001,0.283462,Linux x86_64,Greedy
200,1201918,-0.74497826,0.000286304,0.001,0.286304,Linux x86_64,Greedy
200,1201921,-0.74031664,0.000282961,0.001,0.282961,Linux x86_64,Greedy
200,1201924,-0.7263584,0.000282198,0.001,0.282198,Linux x86_64,Greedy
200,1201927,-0.73025579,0.000288476,0.001,0.288476,Linux x86_64,Greedy
200,1201930,-0.73909005,0.000287227,0.001,0.287227,Linux x86_64,Greedy
200,1201933,-0.72689906,0.000274977,0.001,0.274977,Linux x86_64,Greedy
